Nama,Masuk,Keluar,Duration,Coba
InsertJSON,16:18:26,16:18:26,2.749,15
InsertJSON,16:18:33,16:18:33,2.669,16
InsertJSON,16:18:40,16:18:40,3.386,17
InsertJSON,16:18:47,16:18:47,3.428,18
InsertJSON,16:18:56,16:18:56,2.829,19
InsertJSON,16:20:28,16:20:28,4.117,20
InsertJSON,16:20:35,16:20:35,2.343,21
InsertJSON,16:20:42,16:20:42,2.614,22
InsertJSON,16:20:50,16:20:50,2.486,23
InsertJSON,16:20:57,16:20:57,2.196,24
InsertJSON,16:21:04,16:21:04,2.328,25
InsertJSON,16:21:11,16:21:11,2.301,26
InsertJSON,16:21:35,16:21:35,3.046,27
InsertJSON,16:21:44,16:21:44,2.632,28
InsertJSON,16:21:52,16:21:52,2.675,29
InsertJSON,16:22:00,16:22:00,2.073,30
InsertPostgreSQL,14:37:51,14:37:51,50.027,1
InsertPostgreSQL,15:08:13,15:08:13,42.683,2
InsertPostgreSQL,15:11:02,15:11:02,38.962,3
InsertPostgreSQL,15:19:08,15:19:08,41.315,4
InsertPostgreSQL,15:19:16,15:19:16,37.877,5
InsertPostgreSQL,15:19:23,15:19:23,39.011,6
InsertPostgreSQL,15:19:34,15:19:34,31.108,7
InsertPostgreSQL,15:19:42,15:19:42,40.043,8
InsertPostgreSQL,15:19:49,15:19:49,31.918,9
InsertPostgreSQL,16:16:23,16:16:23,36.675,10
InsertPostgreSQL,16:16:30,16:16:30,32.046,11
InsertPostgreSQL,16:16:38,16:16:38,30.930,12
InsertPostgreSQL,16:18:11,16:18:11,40.106,13
InsertPostgreSQL,16:18:18,16:18:18,30.922,14
InsertPostgreSQL,16:18:26,16:18:26,37.936,15
InsertPostgreSQL,16:18:33,16:18:33,31.383,16
InsertPostgreSQL,16:18:40,16:18:40,31.261,17
InsertPostgreSQL,16:18:47,16:18:47,38.880,18
InsertPostgreSQL,16:18:56,16:18:56,31.402,19
InsertPostgreSQL,16:20:28,16:20:28,40.657,20
InsertPostgreSQL,16:20:35,16:20:35,33.237,21
InsertPostgreSQL,16:20:42,16:20:42,39.752,22
InsertPostgreSQL,16:20:50,16:20:50,31.094,23
InsertPostgreSQL,16:20:57,16:20:57,33.758,24
